,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W065121,2025-05-22,RG12,Cocaine,GC,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Increased Strength, Empathy, Insomnia",Cocaine,Norcocaine,51.4007,-0.7635
000237000,2025-05-22,,Crak cocaine,Not Stated,White,Solid,Oral,Increased Confidence,"Caffeine, Amphetamine",,0,0
W065148,2025-05-22,AB51,Cocaine,Cocaine,White,Powder,Snort / Sniff,"Chest Pains, Irregular Heartbeat, Breathlesness, Nosebleeds, Nausea, Paranoia, Confusion, Agitation",Cocaine,Levamisole,57.276892045454545,-2.442275
W065120,2025-05-22,RG12,Cocaine,Fifa,White,Powder,Snort / Sniff,"Empathy, Auditory Hallucinations, Visual Hallucinations, Insomnia",Cocaine,Levamisole,51.4007,-0.7635
000232895,2025-05-22,CF83,Cocaine,Cocaine,White,Powder,Snort / Sniff,Not Stated,Cocaine,,51.59288333333333,-3.2333833333333337
000234086,2025-05-22,NP20,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Libido",Cocaine,,51.5877,-2.9984
W065177,2025-05-22,MS0,Coke,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence",No Active Component Identified,,,
W065178,2025-05-22,MS01,Coke,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence",No Active Component Identified,,,
W065379,2025-05-28,RG12,Cocaine,Bolivian rube,White,Powder,Snort / Sniff,"Euphoria, Increased Confidence, Enhanced Senses, Increased Stamina, Empathy, Insomnia",Cocaine,,51.4007,-0.7635
W065378,2025-05-28,RG12,Cocaine,Pix ,White,Powder,Snort / Sniff,"Euphoria, Increased Confidence, Enhanced Senses, Insomnia",Cocaine,Norcocaine,51.4007,-0.7635
W065274,2025-05-28,NR1,Cocaine,Not Stated,White,,Not Stated,Not Stated,Cocaine,,52.6271,1.3072
W065420,2025-05-28,TS01,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,,,
W065421,2025-05-28,TS01,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,,,
W065333,2025-05-30,EH12,cocaine,21/MNUK,White,Powder,Not Stated,Not Stated,Cocaine,,55.9429,-3.285
W065246,2025-05-30,TD1,cocaine,Not Stated,White,Powder,Smoked,"Euphoria, Increased Energy, Paranoia, Agitation",Cocaine,,55.66659333333334,-2.8606933333333333
W065429,2025-05-30,EH51,cocaine,cocaine,White,Powder,Intravenous,"Increased Energy, Increased Confidence, Increased Libido, Chest Pains, Irregular Heartbeat",Cocaine,,56.01669999999999,-3.6167
000236297,2025-06-06,CF83,Cocaine,Not Stated,White,Powder,Not Stated,"Increased Energy, Increased Confidence, Irregular Heartbeat, Paranoia, Agitation",Cocaine,,51.59288333333333,-3.2333833333333337
W065203,2025-06-13,SL4,Cocaine,Not Stated,White,Solid,Not Stated,Not Stated,Cocaine,,51.47827692307692,-0.6311692307692307
W065477,2025-06-13,HR3,Cocaine,AX-eagle Stamp,White,Powder,Not Stated,Not Stated,Cocaine,,52.08754242424242,-3.049269696969697
W065205,2025-06-13,SL4,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.47827692307692,-0.6311692307692307
W065478,2025-06-13,HR3,Cocaine,Popeye-cola dream,,Powder,Not Stated,Not Stated,Cocaine,,52.08754242424242,-3.049269696969697
W065444,2025-06-13,NR2,Cocaine,Cocaine,White,Granules,Snort / Sniff,"No Effect, Euphoria, Increased Confidence, Enhanced Senses",Cocaine,,52.62865,1.28955
W065474,2025-06-13,DY10,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,,52.3848,-2.212788888888889
W065534,2025-06-16,S1,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,53.383,-1.4659
W065688,2025-06-16,G12,Cocaine,Pix Stamp,"White, White",Powder,Not Stated,Not Stated,Cocaine,Norcocaine,55.8804,-4.3007
W065723,2025-06-17,BS24,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.32409,-2.91161
000236502,2025-06-17,CF31,Crack cocaine,Not Stated,Green,Solid,Not Stated,Not Stated,"Cocaine, Benzoylecgonine",,51.507666666666665,-3.577733333333333
W065599,2025-06-17,HP22,Cocaine,Not Stated,White,Solid,Snort / Sniff,"Euphoria, Enhanced Senses, Increased Libido",Cocaine,,51.83288095238095,-0.786652380952381
W065685,2025-06-17,G12,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Procaine",,55.8804,-4.3007
W065551,2025-06-17,SE4,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.46099999999999,-0.0352
W065522,2025-06-17,WV1,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Increased Libido, Empathy",Cocaine,,52.58135,-2.11545
W065456,2025-06-17,WV1,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Increased Libido",Cocaine,,52.58135,-2.11545
000039659,2025-06-17,NP12,Cocaine powder,Not Stated,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Enhanced Senses, Chest Pains, Depression",Cocaine,,51.6678,-3.2075
W065458,2025-06-17,SO17,Cocaine,veujw,White,Powder,Not Stated,Not Stated,Cocaine,,50.927,-1.394
W065550,2025-06-17,OX5,Cocaine,Peruvian Coke,White,Powder,Snort / Sniff,"Euphoria, Increased Confidence, Increased Libido, Irregular Heartbeat, Nosebleeds, Depression, Nasal Burning",Cocaine,,51.844725,-1.2513
W065588,2025-06-17,SE1,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,Procaine,51.49874615384616,-0.0930384615384615
W065693,2025-06-17,BS4,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Ketamine, Cocaine",,51.4345,-2.55525
W065595,2025-06-17,B18,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,52.4814,-1.8998
W065466,2025-06-17,NP20,Crack cocaine,Not Stated,White,Solid,Smoked,"Euphoria, Increased Energy, Visual Hallucinations, Chest Pains, Paranoia, Confusion, Agitation",Cocaine,Benzoylecgonine,51.5877,-2.9984
W065825,2025-06-20,OX4,Cocaine,Mule,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Empathy, Insomnia",Cocaine,,51.723725,-1.224375
W065826,2025-06-20,OX4,Cocaine,peruvian,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Empathy, Insomnia",Cocaine,,51.723725,-1.224375
W065770,2025-06-20,TD11,Cocaine,Not Stated,White,Powder,"Smoked, Snort / Sniff","Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Nausea, Vomiting",Cocaine,,55.78830869565218,-2.312726086956522
W065819,2025-06-20,N1,Cocaine,Not Stated,White,Solid,Not Stated,Not Stated,Cocaine,,51.53669,-0.0944
W065459,2025-06-20,SO15,COCAINE,SPAINCARTELCOLO,White,Powder,Not Stated,Not Stated,Cocaine,,50.913799999999995,-1.419675
W065822,2025-06-20,SE1,cocaine,cocaine,White,Powder,Not Stated,Not Stated,"Cocaine, Procaine",,51.49874615384616,-0.0930384615384615
W065771,2025-06-20,TD11,Cocaine,Not Stated,White,Powder,"Smoked, Snort / Sniff","Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Nausea, Vomiting",Cocaine,,55.78830869565218,-2.312726086956522
W065851,2025-06-24,BS1,Cocaine,Not Stated,White,Powder,Snort / Sniff,Increased Confidence,Cocaine,,51.4552,-2.5966
W065845,2025-06-24,FK2,Crack cocaine,Crack cocaine,White,Solid,Smoked,"Increased Confidence, Irregular Heartbeat",Cocaine,"Benzoylecgonine, Norcocaine",56.01717272727273,-3.755472727272727
W065827,2025-06-24,OX4,Cocaine,Bolt tube,"White, White",Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Empathy, Insomnia",Cocaine,,51.723725,-1.224375
W065828,2025-06-24,OX4,Cocaine,Goa 1,White,Powder,Snort / Sniff,"Increased Energy, Increased Stamina, Empathy, Insomnia",Cocaine,,51.723725,-1.224375
W066099,2025-06-24,CF14,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Norcocaine",,51.5199,-3.204
W065994,2025-06-25,SG14,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,Procaine,51.811775,-0.11705
W065733,2025-06-25,EH3,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Irregular Heartbeat, Nausea, Confusion, Agitation, Tiredness, Dizziness",Cocaine,,55.9521,-3.1965
